ID,Вул/Маг.,Адреса
179,маг,В.Великого 1 Бл 
116,маг,В.Великого 35 Бл
18,вул,В.Великого 75 Бл 
228,маг,В.Великого 103 Бл 
294,маг,Кульпарківська 59 Бл 
187,маг,Кульпарківська 93 Бл 
213,%вул,Кульпарківська 145 Бл 
306,маг,Кульпарківська 172 Бл 
343,% вул.,Наукова 10а
229,вул,Наукова 59 Бл 
245,% вул,Наукова 96 Бл 
204,% вул,Роксоляни 57 Бл 
276,маг,Рудненська 8ж Бл
199,маг,Повітряна 82 Бл 
182,вул,Мундяк 8 Бл 
214,%  вул,Суботівська 7 Бл 
323,%  вул,Суботівська 10а Бл 
210, %  вул,Широка 96 Бл
234,маг,Залізнична 21 Бл 
209,вул,Золота 25 Бл 
253,% вул,Золота 30 (Рукавичка) 521
256,вул,Васильківського 9 (7/23) 521
260,вул,Юнаківа 9б (7/23) 521
256,%  вул,Художня 4 Бл 
278,% вул,Чупринки 84 Бл 
247,%  вул,Шевченка 31б Бл 
189,маг,Шевченка 45 Бл
177,маг,Шевченка 80 Бл 
275,%  вул,Героїв УПА 73в (ОСББ) 521
293,маг,Коновальця 50 Бл
317,%  вул,Цегельского 10 Бл
197,маг,Кропивницького 7/9 Бл
224,маг,Кн.Ольги 98 Фрешка
175,маг,Кн. Ольги 100к Бл
321,маг,Федьковича 24 Бл
176,маг,Федьковича 38 Бл
287,% вул,Марка Вовчка 24 (Чарка).
190,маг,Братів  Міхновських 23 Бл
337,вул.,Любінська 4
340,вул.,"Гашека, 17"
120,,Мікльоша 17 Бл
50,вул.,"Стрийська, 61"
265,маг.,Стрийська 115 Бл 
228,маг.,Сокільники Весняна 18 Бл.
341,вул.,"Сокільники, ЗСУ, 2"
302,маг.,Сокільн Сковороди 56 Бл
241,вул.,Дзиндри 1а Бл.
121,маг.,Сахарова 60 Бл
301,вул.,Коперника 56 См 
